MRP - PO Suggestion
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|Purch.doc.|Item|Vendor|Vendor Name                        |Material         |      Quantity|Deliv.date|Material description                    |Plnt|Exception message        |Excep.msg.             |Curr.|      Net price|OPUn|   GR Qty.|ABC|PDT|SafetyTime|GRT|IPT|Ship Date |PGr|Purch. gp.       |Item text                               |Del. text|PO creatio|ETD.Seq.nu|ETD       |Confirmed.|Invoice|Last chang|User name|ETD Status|ETD Status Text       |
|4500724234|  10|LLR011|LA RONDINE INDUSTRIA E COMERCIO DE |15000-0910B000   |   11,355.000 |07/18/2023|KITGIFTBOX+EPECUSHION+ACC BOX(Larondine)|271A|Reschedule out (08/24/23)|Finish date in the past|BRL  |     12.390000 |PC  |  720.000 |   | 0 |          | 0 | 0 |07/18/2023|P39|Talita Bosso     |                                        |         |05/26/2023|          |          |    0.000 |       |          |         |IN        |Invoiced              |
|4500724238|  10|LNM031|NILKO TECNOLOGIA LTDA              |21031800         |      300.000 |08/01/2023|BBU5900 Box,442x86.1x310mm,Chassis 2U an|272J|Reschedule out (08/12/23)|                       |BRL  |    570.570000 |PC  |    0.000 |C  | 1 |        14| 0 | 0 |07/17/2023|P39|Talita Bosso     |                                        |         |05/26/2023|          |          |    0.000 |       |          |         |WA        |Waiting Acknowledgment|
|4500724782|  10|LFM161|FOXCONN MOEBG INDUSTRIA DE ELETRONI|451AR7BOL31      |        4.000 |06/29/2023|PCBA MB AK093 FH4AT I3 SRK08 4G BR HDMI |276A|Cancel process           |Finish date in the past|BRL  |    570.427830 |PC  |1,528.000 |   | 0 |          | 0 | 0 |06/29/2023|P39|Talita Bosso     |                                        |         |05/29/2023|          |          |    0.000 |       |          |         |IN        |Invoiced              |
|4500724995|  10|LAA411|ALPHA ASSEMBLY SOLUTIONS BRASIL    |267764           |   55,200.000 |09/01/2023|Solder Paste TAMURA TLF-204-NH(20-36)SAC|272J|                         |                       |BRL  |    936.903080 |KG  |    0.000 |C  |75 |        14| 0 | 0 |06/04/2023|P95|Israel Souza     |                                        |         |06/01/2023|          |          |    0.000 |       |          |         |WA        |Waiting Acknowledgment|
|4500726672|  40|L0769 |ADATA ELECTRONICS BRAZIL S/A       |KN.512RC.001     |      371.000 |07/20/2023|Flash Disk A-DATA SSD NAND 512GB IM2P33F|276D|Cancel process           |                       |BRL  |     47.950000 |PC  |    0.000 |   | 0 |          | 0 | 0 |07/20/2023|P23|Betania Correa   |                                        |         |06/12/2023|          |          |    0.000 |       |          |         |WA        |Waiting Acknowledgment|
|4500727544|  20|LLC041|LABEL CODE COMERCIO E IMPRESSAO DE |15210-11400100   |   50,000.000 |08/14/2023|FLYER BRA NB OS UPDATE NOTICE           |271A|Reschedule out (09/06/23)|                       |BRL  |      0.063500 |PC  |    0.000 |   | 0 |          | 0 | 0 |08/14/2023|P39|Talita Bosso     |                                        |         |06/19/2023|          |          |    0.000 |       |          |         |WA        |Waiting Acknowledgment|
|4500727905|  10|L1127 |HANA ELECTRONICS INDUSTRIA E COMERC|03A08-00044600   |   22,900.000 |08/14/2023|MÓDULO DE MEMÓRIA 4GB HANA - LOCAL      |271A|Reschedule out (09/06/23)|                       |BRL  |      9.138600 |PC  |    0.000 |   | 0 |          | 0 | 0 |08/14/2023|P39|Talita Bosso     |                                        |         |06/20/2023|          |          |    0.000 |       |          |         |WA        |Waiting Acknowledgment|
|4500727905|  20|L1127 |HANA ELECTRONICS INDUSTRIA E COMERC|03B03-00470300   |    6,300.000 |08/21/2023|SSD 512GB Gen 4 Form Factor 2280        |271A|Reschedule out (09/06/23)|                       |BRL  |     46.034900 |PC  |    0.000 |   | 0 |          | 0 | 0 |08/21/2023|P39|Talita Bosso     |                                        |         |06/20/2023|          |          |    0.000 |       |          |         |WA        |Waiting Acknowledgment|
|4500727905|  30|L1127 |HANA ELECTRONICS INDUSTRIA E COMERC|03B03-00423200   |   12,000.000 |08/21/2023|PA MODULO SSD 256GB Gen4 2280 - Asus    |271A|Reschedule out (09/06/23)|                       |BRL  |     31.213000 |PC  |    0.000 |   | 0 |          | 0 | 0 |08/21/2023|P39|Talita Bosso     |                                        |         |06/20/2023|          |          |    0.000 |       |          |         |WA        |Waiting Acknowledgment|
|4500727905|  50|L1127 |HANA ELECTRONICS INDUSTRIA E COMERC|03B03-00423200   |   10,745.000 |08/28/2023|PA MODULO SSD 256GB Gen4 2280 - Asus    |271A|Reschedule out (09/06/23)|                       |BRL  |     31.213000 |PC  |    0.000 |   | 0 |          | 0 | 0 |08/28/2023|P39|Talita Bosso     |                                        |         |06/20/2023|          |          |    0.000 |       |          |         |WA        |Waiting Acknowledgment|
|4500727907|  10|L1127 |HANA ELECTRONICS INDUSTRIA E COMERC|03012-00021600   |   94,800.000 |08/14/2023|Hana DDR4 3200 512M*16 1.2V FBGA96 BRAL |271B|Reschedule in (08/05/23) |                       |BRL  |      2.000000 |PC  |    0.000 |   |27 |          | 0 | 0 |07/18/2023|P39|Talita Bosso     |                                        |         |06/20/2023|          |          |    0.000 |       |          |         |WA        |Waiting Acknowledgment|
|4500727910|  10|L1560 |INNOVAK INDUSTRIA DE MATERIAIS PLAS|15000-0910A000   |    3,080.000 |08/15/2023|KIT GIFTBOX+EPE CUSHION+ACC BOX(Innovak)|271A|Reschedule out (08/25/23)|                       |BRL  |     10.810000 |PC  |    0.000 |   | 0 |          | 0 | 0 |08/15/2023|P39|Talita Bosso     |                                        |         |06/20/2023|          |          |    0.000 |       |          |         |WA        |Waiting Acknowledgment|
|4500727910|  20|L1560 |INNOVAK INDUSTRIA DE MATERIAIS PLAS|15000-0910A000   |    3,080.000 |08/22/2023|KIT GIFTBOX+EPE CUSHION+ACC BOX(Innovak)|271A|Reschedule out (09/02/23)|                       |BRL  |     10.810000 |PC  |    0.000 |   | 0 |          | 0 | 0 |08/22/2023|P39|Talita Bosso     |                                        |         |06/20/2023|          |          |    0.000 |       |          |         |WA        |Waiting Acknowledgment|
|4500727910|  30|L1560 |INNOVAK INDUSTRIA DE MATERIAIS PLAS|15000-0910A000   |    3,080.000 |08/29/2023|KIT GIFTBOX+EPE CUSHION+ACC BOX(Innovak)|271A|Reschedule out (09/06/23)|                       |BRL  |     10.810000 |PC  |    0.000 |   | 0 |          | 0 | 0 |08/29/2023|P39|Talita Bosso     |                                        |         |06/20/2023|          |          |    0.000 |       |          |         |WA        |Waiting Acknowledgment|
|4500727910|  40|L1560 |INNOVAK INDUSTRIA DE MATERIAIS PLAS|15000-0910A000   |    2,835.000 |09/05/2023|KIT GIFTBOX+EPE CUSHION+ACC BOX(Innovak)|271A|Reschedule out (09/06/23)|                       |BRL  |     10.810000 |PC  |    0.000 |   | 0 |          | 0 | 0 |09/05/2023|P39|Talita Bosso     |                                        |         |06/20/2023|          |          |    0.000 |       |          |         |WA        |Waiting Acknowledgment|
|4500727987|  10|LLR011|LA RONDINE INDUSTRIA E COMERCIO DE |15000-0910B000   |   14,752.000 |08/14/2023|KITGIFTBOX+EPECUSHION+ACC BOX(Larondine)|271A|Reschedule out (09/06/23)|                       |BRL  |     12.390000 |PC  |    0.000 |   | 0 |          | 0 | 0 |08/14/2023|P39|Talita Bosso     |                                        |         |06/21/2023|          |          |    0.000 |       |          |         |WA        |Waiting Acknowledgment|
|4500728010|  10|LLM231|LITE-ON MOBILE INDUSTRIA E COMERCIO|0A001-01102700   |   23,626.000 |08/14/2023|ADAPTER 45W19V C6(4PHI)//LITEON/PA-1450-|271A|Reschedule out (08/24/23)|                       |BRL  |      6.310000 |PC  |    0.000 |   | 0 |          | 0 | 0 |08/14/2023|P39|Talita Bosso     |                                        |         |06/21/2023|          |          |    0.000 |       |          |         |WA        |Waiting Acknowledgment|
|4500728011|  10|L0650 |SERVCAMP INDUSTRIA E COMERCIO DE   |15160-03780000-L |   32,780.000 |08/14/2023|NON-WOVEN BAG(LOCAL) FOR X507//V1.0     |271A|Reschedule out (09/06/23)|                       |BRL  |      0.680000 |PC  |    0.000 |   | 0 |          | 0 | 0 |08/14/2023|P39|Talita Bosso     |                                        |         |06/21/2023|          |          |    0.000 |       |          |         |WA        |Waiting Acknowledgment|
|4500728768|  10|LLC041|LABEL CODE COMERCIO E IMPRESSAO DE |15100-00390200-NL|   50,000.000 |08/12/2023|BARCODE STIKCER-adesivo C2075-60MMx140MM|271A|Reschedule out (09/06/23)|                       |BRL  |      0.244000 |PC  |    0.000 |   | 0 |          | 0 | 0 |08/12/2023|P39|Talita Bosso     |                                        |         |06/23/2023|          |          |    0.000 |       |          |         |WA        |Waiting Acknowledgment|
|4500728768|  20|LLC041|LABEL CODE COMERCIO E IMPRESSAO DE |15100-0155A000-L |   50,000.000 |08/12/2023|NB SERIAL NUMBER LB BLK-D PART//V1.0 40*|271A|Reschedule out (09/06/23)|                       |BRL  |      0.080500 |PC  |    0.000 |   | 0 |          | 0 | 0 |08/12/2023|P39|Talita Bosso     |                                        |         |06/23/2023|          |          |    0.000 |       |          |         |WA        |Waiting Acknowledgment|
|4500728768|  30|LLC041|LABEL CODE COMERCIO E IMPRESSAO DE |15100-02793200-L |   50,000.000 |08/12/2023|SEALED FOR QUALITY                      |271A|Reschedule out (09/06/23)|                       |BRL  |      0.451000 |PC  |    0.000 |   | 0 |          | 0 | 0 |08/12/2023|P39|Talita Bosso     |                                        |         |06/23/2023|          |          |    0.000 |       |          |         |WA        |Waiting Acknowledgment|
|4500728768|  40|LLC041|LABEL CODE COMERCIO E IMPRESSAO DE |15100-11712100-NL|   50,000.000 |08/12/2023|SPEC SHIPPING-adesivo C2075             |271A|Reschedule out (09/06/23)|                       |BRL  |      0.347700 |PC  |    0.000 |   | 0 |          | 0 | 0 |08/12/2023|P39|Talita Bosso     |                                        |         |06/23/2023|          |          |    0.000 |       |          |         |WA        |Waiting Acknowledgment|
|4500728768|  50|LLC041|LABEL CODE COMERCIO E IMPRESSAO DE |15100-17202000-L |   50,000.000 |08/12/2023|ANATEL_9461.NGWGAC_(1*1)M.2_1A//V1.0 LB.|271A|Reschedule out (09/06/23)|                       |BRL  |      0.057500 |PC  |    0.000 |   | 0 |          | 0 | 0 |08/12/2023|P39|Talita Bosso     |                                        |         |06/23/2023|          |          |    0.000 |       |          |         |WA        |Waiting Acknowledgment|
|4500729680|  10|LCE031|ALPHA ASSEMBLY SOLUTIONS BRASIL    |153618           |   75,000.000 |08/14/2023|SOLDA VACULOY L/F SAC305                |272J|Reschedule in (08/11/23) |                       |BRL  |    329.315100 |KG  |    0.000 |C  |45 |        14| 0 | 0 |06/16/2023|P96|Douglas Sartorato|                                        |         |06/29/2023|          |          |    0.000 |       |          |         |WA        |Waiting Acknowledgment|
|4500729726|  10|LLC041|LABEL CODE COMERCIO E IMPRESSAO DE |14192067-LABEL   |    1,000.000 |08/01/2023|Etiq. Kapton Fosco 5x5x10mm (label code)|272J|Reschedule out (08/15/23)|                       |BRL  |      0.733100 |PC  |    0.000 |C  |15 |        14| 0 | 0 |07/03/2023|P39|Talita Bosso     |                                        |         |06/29/2023|          |          |    0.000 |       |          |         |WA        |Waiting Acknowledgment|
|4500729726|  20|LLC041|LABEL CODE COMERCIO E IMPRESSAO DE |ALCAFYQ          |    1,000.000 |08/01/2023|Etiq. Kapton Fosco 5x5x10mm (label code)|272J|Reschedule out (08/14/23)|                       |BRL  |      0.733100 |PC  |    0.000 |C  |15 |        14| 0 | 0 |07/03/2023|P39|Talita Bosso     |                                        |         |06/29/2023|          |          |    0.000 |       |          |         |WA        |Waiting Acknowledgment|
|4500729726|  30|LLC041|LABEL CODE COMERCIO E IMPRESSAO DE |ALCAUWT          |    1,000.000 |08/01/2023|Etiq. Kapton Fosco 5x5x10mm (label code)|272J|Reschedule out (09/24/23)|                       |BRL  |      0.733100 |PC  |    0.000 |C  |15 |        14| 0 | 0 |07/03/2023|P39|Talita Bosso     |                                        |         |06/29/2023|          |          |    0.000 |       |          |         |WA        |Waiting Acknowledgment|
|4500729964|  10|LSM031|SMART MODULAR TECHNOLOGIES INDUSTRI|03012-00021500   |    2,240.000 |07/31/2023|DDR4 3200 512M*16 1.2V FBGA96 BRA//SMART|271B|Reschedule out (09/02/23)|                       |BRL  |      2.040000 |PC  |    0.000 |   |27 |          | 0 | 0 |07/04/2023|P39|Talita Bosso     |                                        |         |06/30/2023|          |          |    0.000 |       |          |         |WA        |Waiting Acknowledgment|
|4500730202|  10|LNM031|NILKO TECNOLOGIA LTDA              |21031800         |      300.000 |09/01/2023|BBU5900 Box,442x86.1x310mm,Chassis 2U an|272J|Reschedule out (09/03/23)|                       |BRL  |    570.570000 |PC  |    0.000 |C  | 1 |        14| 0 | 0 |08/17/2023|P39|Talita Bosso     |                                        |         |07/03/2023|          |          |    0.000 |       |          |         |WA        |Waiting Acknowledgment|
|4500730223|  10|LSR141|PROTECTRONICS SOLUCOES INDUSTRIAIS |UV3301           |    1,950.000 |08/10/2023|UV3301 Adesivo UV - 30mL                |271B|Reschedule out (08/27/23)|                       |BRL  |    127.760000 |PC  |    0.000 |   |60 |        14| 0 | 0 |05/28/2023|P39|Talita Bosso     |                                        |         |07/03/2023|          |          |    0.000 |       |          |         |WA        |Waiting Acknowledgment|
|4500730406|  10|LWS101|WHITE SOLDER LTDA.                 |POTE-INSSOP0008-N|  120,000.000 |08/10/2023|PASTA DE SOLDA PF606- P (SHENMAO)       |271B|Reschedule out (08/27/23)|                       |BRL  |    693.600000 |KG  |    0.000 |   |60 |        14| 0 | 0 |05/28/2023|P00|Marcel Zanini    |                                        |         |07/05/2023|          |          |    0.000 |       |          |         |WA        |Waiting Acknowledgment|
|4500730407|  10|LWS101|WHITE SOLDER LTDA.                 |POTE-INSSOP0008-N|  188,000.000 |09/11/2023|PASTA DE SOLDA PF606- P (SHENMAO)       |271B|Reschedule out (09/17/23)|                       |BRL  |    693.600000 |KG  |    0.000 |   |60 |        14| 0 | 0 |06/29/2023|P00|Marcel Zanini    |                                        |         |07/05/2023|          |          |    0.000 |       |          |         |WA        |Waiting Acknowledgment|
|4500730514|  10|L0650 |SERVCAMP INDUSTRIA E COMERCIO DE   |15160-03780000-L |    6,830.000 |07/26/2023|NON-WOVEN BAG(LOCAL) FOR X507//V1.0     |271A|Reschedule out (09/06/23)|                       |BRL  |      0.680000 |PC  |    0.000 |   | 0 |          | 0 | 0 |07/26/2023|P39|Talita Bosso     |                                        |         |07/06/2023|          |          |    0.000 |       |          |         |WA        |Waiting Acknowledgment|
|4500731088|  10|L1127 |HANA ELECTRONICS INDUSTRIA E COMERC|03A08-00044600   |   18,000.000 |09/11/2023|MÓDULO DE MEMÓRIA 4GB HANA - LOCAL      |271A|Reschedule out (10/04/23)|                       |BRL  |      1.000000 |PC  |    0.000 |   | 0 |          | 0 | 0 |09/11/2023|P39|Talita Bosso     |                                        |         |07/10/2023|          |          |    0.000 |       |          |         |WA        |Waiting Acknowledgment|
|4500731088|  20|L1127 |HANA ELECTRONICS INDUSTRIA E COMERC|03B03-00470300   |    4,950.000 |09/11/2023|SSD 512GB Gen 4 Form Factor 2280        |271A|Reschedule out (10/04/23)|                       |BRL  |      1.000000 |PC  |    0.000 |   | 0 |          | 0 | 0 |09/11/2023|P39|Talita Bosso     |                                        |         |07/10/2023|          |          |    0.000 |       |          |         |WA        |Waiting Acknowledgment|
|4500731088|  30|L1127 |HANA ELECTRONICS INDUSTRIA E COMERC|03B03-00423200   |   27,400.000 |09/11/2023|PA MODULO SSD 256GB Gen4 2280 - Asus    |271A|Reschedule out (10/04/23)|                       |BRL  |      1.000000 |PC  |    0.000 |   | 0 |          | 0 | 0 |09/11/2023|P39|Talita Bosso     |                                        |         |07/10/2023|          |          |    0.000 |       |          |         |WA        |Waiting Acknowledgment|
|4500731089|  10|L1127 |HANA ELECTRONICS INDUSTRIA E COMERC|03012-00021600   |   72,400.000 |09/11/2023|Hana DDR4 3200 512M*16 1.2V FBGA96 BRAL |271B|                         |                       |BRL  |      0.880000 |PC  |    0.000 |   |27 |          | 0 | 0 |08/15/2023|P39|Talita Bosso     |                                        |         |07/10/2023|          |          |    0.000 |       |          |         |WA        |Waiting Acknowledgment|
|4500731261|  10|LSM031|SMART MODULAR TECHNOLOGIES INDUSTRI|03012-00021500   |    2,240.000 |08/28/2023|DDR4 3200 512M*16 1.2V FBGA96 BRA//SMART|271B|Reschedule out (11/01/23)|                       |BRL  |      2.040000 |PC  |    0.000 |   |27 |          | 0 | 0 |08/01/2023|P39|Talita Bosso     |                                        |         |07/11/2023|          |          |    0.000 |       |          |         |WA        |Waiting Acknowledgment|
|4500731342|  10|LNM031|NILKO TECNOLOGIA LTDA              |21013121         |        5.000 |09/01/2023|Indoor Cabinet or Rack                  |272K|Cancel process           |                       |BRL  |  4,792.590000 |PC  |    0.000 |   | 0 |          | 0 | 0 |09/01/2023|P95|Israel Souza     |                                        |         |07/11/2023|          |          |    0.000 |       |          |         |WA        |Waiting Acknowledgment|
|4500731366|  10|LLR011|LA RONDINE INDUSTRIA E COMERCIO DE |MSFT-M-FOAM-L    |      500.000 |08/20/2023|Foam Gray Medium D23                    |271G|Cancel process           |                       |BRL  |     20.240000 |PC  |    0.000 |   | 0 |          | 0 | 0 |08/20/2023|P96|Douglas Sartorato|                                        |         |07/11/2023|          |          |    0.000 |       |          |         |WA        |Waiting Acknowledgment|
|4500731498|  10|LAA411|ALPHA ASSEMBLY SOLUTIONS BRASIL    |267764           |   55,200.000 |10/01/2023|Solder Paste TAMURA TLF-204-NH(20-36)SAC|272J|Reschedule in (09/30/23) |                       |BRL  |    936.903080 |KG  |    0.000 |C  |75 |        14| 0 | 0 |07/04/2023|P95|Israel Souza     |                                        |         |07/12/2023|          |          |    0.000 |       |          |         |WA        |Waiting Acknowledgment|
|4500732241|  10|L1560 |INNOVAK INDUSTRIA DE MATERIAIS PLAS|15000-0910A000   |    3,380.000 |09/12/2028|KIT GIFTBOX+EPE CUSHION+ACC BOX(Innovak)|271A|                         |                       |BRL  |     10.810000 |PC  |    0.000 |   | 0 |          | 0 | 0 |09/12/2028|P39|Talita Bosso     |                                        |         |07/18/2023|          |          |    0.000 |       |          |         |WA        |Waiting Acknowledgment|
|4500732241|  20|L1560 |INNOVAK INDUSTRIA DE MATERIAIS PLAS|15000-0910A000   |    3,380.000 |09/19/2023|KIT GIFTBOX+EPE CUSHION+ACC BOX(Innovak)|271A|Reschedule in (09/06/23) |                       |BRL  |     10.810000 |PC  |    0.000 |   | 0 |          | 0 | 0 |09/19/2023|P39|Talita Bosso     |                                        |         |07/18/2023|          |          |    0.000 |       |          |         |WA        |Waiting Acknowledgment|
|4500732241|  30|L1560 |INNOVAK INDUSTRIA DE MATERIAIS PLAS|15000-0910A000   |    3,380.000 |09/26/2023|KIT GIFTBOX+EPE CUSHION+ACC BOX(Innovak)|271A|Reschedule out (10/04/23)|                       |BRL  |     10.810000 |PC  |    0.000 |   | 0 |          | 0 | 0 |09/26/2023|P39|Talita Bosso     |                                        |         |07/18/2023|          |          |    0.000 |       |          |         |WA        |Waiting Acknowledgment|
|4500732241|  40|L1560 |INNOVAK INDUSTRIA DE MATERIAIS PLAS|15000-0910A000   |    3,410.000 |10/03/2023|KIT GIFTBOX+EPE CUSHION+ACC BOX(Innovak)|271A|Reschedule out (10/04/23)|                       |BRL  |     10.810000 |PC  |    0.000 |   | 0 |          | 0 | 0 |10/03/2023|P39|Talita Bosso     |                                        |         |07/18/2023|          |          |    0.000 |       |          |         |WA        |Waiting Acknowledgment|
|4500732248|  10|LLR011|LA RONDINE INDUSTRIA E COMERCIO DE |15000-0910B000   |   19,550.000 |09/11/2023|KITGIFTBOX+EPECUSHION+ACC BOX(Larondine)|271A|Reschedule out (10/04/23)|                       |BRL  |     12.390000 |PC  |    0.000 |   | 0 |          | 0 | 0 |09/11/2023|P39|Talita Bosso     |                                        |         |07/18/2023|          |          |    0.000 |       |          |         |WA        |Waiting Acknowledgment|
|4500732249|  10|LLM231|LITE-ON MOBILE INDUSTRIA E COMERCIO|0A001-01102700   |   17,870.000 |09/11/2023|ADAPTER 45W19V C6(4PHI)//LITEON/PA-1450-|271A|Reschedule in (09/06/23) |                       |BRL  |      6.310000 |PC  |    0.000 |   | 0 |          | 0 | 0 |09/11/2023|P39|Talita Bosso     |                                        |         |07/18/2023|          |          |    0.000 |       |          |         |WA        |Waiting Acknowledgment|
|4500732250|  10|L0650 |SERVCAMP INDUSTRIA E COMERCIO DE   |15160-03780000-L |   35,750.000 |09/11/2023|NON-WOVEN BAG(LOCAL) FOR X507//V1.0     |271A|Cancel process           |                       |BRL  |      1.000000 |PC  |    0.000 |   | 0 |          | 0 | 0 |09/11/2023|P39|Talita Bosso     |                                        |         |07/18/2023|          |          |    0.000 |       |          |         |WA        |Waiting Acknowledgment|
|4500732473|  10|LCE031|ALPHA ASSEMBLY SOLUTIONS BRASIL    |153618           |  325,000.000 |08/16/2023|SOLDA VACULOY L/F SAC305                |272J|Reschedule in (08/14/23) |                       |BRL  |    329.315000 |KG  |    0.000 |C  |45 |        14| 0 | 0 |06/18/2023|P96|Douglas Sartorato|                                        |         |07/19/2023|          |          |    0.000 |       |          |         |WA        |Waiting Acknowledgment|
|4500732474|  10|L1127 |HANA ELECTRONICS INDUSTRIA E COMERC|03A08-00044600   |    2,000.000 |08/07/2023|MÓDULO DE MEMÓRIA 4GB HANA - LOCAL      |271A|Reschedule out (09/06/23)|                       |BRL  |      9.138600 |PC  |    0.000 |   | 0 |          | 0 | 0 |08/07/2023|P39|Talita Bosso     |                                        |         |07/19/2023|          |          |    0.000 |       |          |         |WA        |Waiting Acknowledgment|
|4500732475|  10|L1127 |HANA ELECTRONICS INDUSTRIA E COMERC|03A08-00044600   |    4,000.000 |08/28/2023|MÓDULO DE MEMÓRIA 4GB HANA - LOCAL      |271A|Reschedule out (10/04/23)|                       |BRL  |      1.000000 |PC  |    0.000 |   | 0 |          | 0 | 0 |08/28/2023|P39|Talita Bosso     |                                        |         |07/19/2023|          |          |    0.000 |       |          |         |WA        |Waiting Acknowledgment|
|4500732487|  10|LLC041|LABEL CODE COMERCIO E IMPRESSAO DE |15100-17210100-L |    1,100.000 |08/14/2023|RF LB_9462.NGWG_AC_(1*1)M.2//V2.0_BK_40*|271A|Cancel process           |                       |BRL  |      0.080500 |PC  |    0.000 |   | 0 |          | 0 | 0 |08/14/2023|P39|Talita Bosso     |                                        |         |07/19/2023|          |          |    0.000 |       |          |         |WA        |Waiting Acknowledgment|
|4500732487|  20|LLC041|LABEL CODE COMERCIO E IMPRESSAO DE |15100-17212000-L |   10,000.000 |08/14/2023|ANATEL_9462.NGWG_AC_(1*1)M.2//V1.0 LB.CO|271A|Reschedule out (09/06/23)|                       |BRL  |      0.057500 |PC  |    0.000 |   | 0 |          | 0 | 0 |08/14/2023|P39|Talita Bosso     |                                        |         |07/19/2023|          |          |    0.000 |       |          |         |WA        |Waiting Acknowledgment|
